check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:30:08.668686+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:30:08.668711+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:30:08.700026+05:30
http,pass,Probe 1: HTTP 200 at https://www.pgia.ac.lk/,https://www.pgia.ac.lk/,2026-09-08T23:30:23.777920+05:30
http,pass,Probe 2: HTTP 200 at https://www.pgia.ac.lk/,http://www.pgia.ac.lk/,2026-09-08T23:30:23.777948+05:30
http,pass,Probe 3: HTTP 200 at https://www.pgia.ac.lk/,https://www.pgia.ac.lk/,2026-09-08T23:30:23.777952+05:30
http,pass,Probe 4: HTTP 200 at https://www.pgia.ac.lk/,http://www.pgia.ac.lk/,2026-09-08T23:30:23.777955+05:30
http,pass,Probe 5: HTTP 200 at https://www.pgia.ac.lk/contact.php,https://www.pgia.ac.lk/contact.php,2026-09-08T23:30:23.777958+05:30
http,pass,Probe 6: HTTP 200 at https://www.pgia.ac.lk/files/about/2022/Bom_contacts_list_2022.pdf,https://www.pgia.ac.lk/files/about/2022/Bom_contacts_list_2022.pdf,2026-09-08T23:30:23.777961+05:30
http,pass,Probe 7: HTTP 200 at https://www.pgia.ac.lk/directory.php,https://www.pgia.ac.lk/directory.php,2026-09-08T23:30:23.777964+05:30
http,pass,Probe 8: HTTP 200 at https://www.pgia.ac.lk/congress/index.php,https://www.pgia.ac.lk/congress/index.php,2026-09-08T23:30:23.777967+05:30
http,pass,Probe 9: HTTP 200 at https://www.pgia.ac.lk/IQAC/,https://www.pgia.ac.lk/IQAC/,2026-09-08T23:30:23.777970+05:30
http,pass,Probe 10: HTTP 200 at https://www.pgia.ac.lk/pgia_mis/index.php/home_controller/index,https://www.pgia.ac.lk/pgia_mis/index.php/home_controller/index,2026-09-08T23:30:23.777972+05:30
http,pass,Probe 11: HTTP 200 at https://www.pgia.ac.lk/feedback.php,https://www.pgia.ac.lk/feedback.php,2026-09-08T23:30:23.777975+05:30
http,pass,Probe 12: HTTP 200 at https://www.pgia.ac.lk/files/notice/2021/faq_pgia.pdf,https://www.pgia.ac.lk/files/notice/2021/faq_pgia.pdf,2026-09-08T23:30:23.777978+05:30
http,pass,Probe 13: HTTP 200 at https://www.pgia.ac.lk/index.php,https://www.pgia.ac.lk/index.php,2026-09-08T23:30:23.777980+05:30
http,pass,Probe 14: HTTP 200 at https://www.pgia.ac.lk/director.php,https://www.pgia.ac.lk/director.php,2026-09-08T23:30:23.777982+05:30
phone,pass,Published phone: +94 81 2388219 ,https://www.pgia.ac.lk/,
