check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:08:09.796273+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:08:09.796291+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:08:09.935881+05:30
http,pass,Probe 1: HTTP 200 at https://www.pmoffice.gov.lk/,https://www.pmoffice.gov.lk/,2026-09-09T00:08:26.640680+05:30
http,pass,Probe 2: HTTP 200 at https://www.pmoffice.gov.lk/,http://www.pmoffice.gov.lk/,2026-09-09T00:08:26.640699+05:30
http,pass,Probe 3: HTTP 200 at https://www.pmoffice.gov.lk/,https://www.pmoffice.gov.lk/,2026-09-09T00:08:26.640702+05:30
http,pass,Probe 4: HTTP 200 at https://www.pmoffice.gov.lk/,http://www.pmoffice.gov.lk/,2026-09-09T00:08:26.640705+05:30
http,pass,Probe 5: HTTP 200 at https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,2026-09-09T00:08:26.640708+05:30
http,pass,Probe 6: HTTP 200 at https://www.pmoffice.gov.lk/contact_details.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,https://www.pmoffice.gov.lk/contact_details.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,2026-09-09T00:08:26.640711+05:30
http,pass,Probe 7: HTTP 200 at https://www.pmoffice.gov.lk/divisions.php?para=bHc4UmJwSWFEVzRGSlZyTXoyS3M2UT09,https://www.pmoffice.gov.lk/divisions.php?para=bHc4UmJwSWFEVzRGSlZyTXoyS3M2UT09,2026-09-09T00:08:26.640714+05:30
http,pass,Probe 8: HTTP 200 at https://www.pmoffice.gov.lk/index.php?para=Vk5rV1N3UEUrWGd6YTJqa09ZSmVzTEdsdmhOUXgvVVROelhMWjBTeC9Icz0=,https://www.pmoffice.gov.lk/index.php?para=Vk5rV1N3UEUrWGd6YTJqa09ZSmVzTEdsdmhOUXgvVVROelhMWjBTeC9Icz0=,2026-09-09T00:08:26.640716+05:30
http,pass,Probe 9: HTTP 200 at https://www.pmoffice.gov.lk/index.php?para=V3FBWEZpWXNKNEhxK3RWYWlrYlBaNjhvZ1d1S25GRnU0NFhGVURFVng3VT0=,https://www.pmoffice.gov.lk/index.php?para=V3FBWEZpWXNKNEhxK3RWYWlrYlBaNjhvZ1d1S25GRnU0NFhGVURFVng3VT0=,2026-09-09T00:08:26.640719+05:30
http,pass,Probe 10: HTTP 200 at https://www.pmoffice.gov.lk/index.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,https://www.pmoffice.gov.lk/index.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,2026-09-09T00:08:26.640722+05:30
http,pass,Probe 11: HTTP 200 at https://www.pmoffice.gov.lk/PMprofile.php?para=UXp2bUt0QzRDemxrZENhc2oyWHVFOHpGL05xWWZROUg1UEVwTnhMSlhIaz0=,https://www.pmoffice.gov.lk/PMprofile.php?para=UXp2bUt0QzRDemxrZENhc2oyWHVFOHpGL05xWWZROUg1UEVwTnhMSlhIaz0=,2026-09-09T00:08:26.640725+05:30
http,pass,Probe 12: HTTP 200 at https://www.pmoffice.gov.lk/secretary.php?para=Z2NGcEJpMXkrOFFmRHFBNjF4ODRTd2IyQnZNWHA3Wk41NTZ4aG9wYTh1VT0=,https://www.pmoffice.gov.lk/secretary.php?para=Z2NGcEJpMXkrOFFmRHFBNjF4ODRTd2IyQnZNWHA3Wk41NTZ4aG9wYTh1VT0=,2026-09-09T00:08:26.640728+05:30
http,pass,Probe 13: HTTP 200 at https://www.pmoffice.gov.lk/pmo_duties.php?para=SnpXcTloK3piSURWeHRRVnV2bWp5S0JwNmpyb2N3KzBQc0FKM1RsZ0VoYz0=,https://www.pmoffice.gov.lk/pmo_duties.php?para=SnpXcTloK3piSURWeHRRVnV2bWp5S0JwNmpyb2N3KzBQc0FKM1RsZ0VoYz0=,2026-09-09T00:08:26.640730+05:30
http,pass,Probe 14: HTTP 200 at https://www.pmoffice.gov.lk/vision.php?para=N0xVREh1N3dudzYvcm11bTRsVEdGN1JOT2F2RUZ6RDdtTU51dlMyRW5Dbz0=,https://www.pmoffice.gov.lk/vision.php?para=N0xVREh1N3dudzYvcm11bTRsVEdGN1JOT2F2RUZ6RDdtTU51dlMyRW5Dbz0=,2026-09-09T00:08:26.640733+05:30
phone,pass,Published phone: +94) 112 575317 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 574713 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 370737 ,https://www.pmoffice.gov.lk/,
email,pass,Published email: info@pmoffice.gov.lk,https://www.pmoffice.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.pmoffice.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.pmoffice.gov.lk/,
published_update_date,pass,Published published update date: 04 September 2026,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575317 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 574713 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 370737 ,https://www.pmoffice.gov.lk/,
email,pass,Published email: info@pmoffice.gov.lk,https://www.pmoffice.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.pmoffice.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.pmoffice.gov.lk/,
published_update_date,pass,Published published update date: 04 September 2026,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575317 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 574713 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 370737 ,https://www.pmoffice.gov.lk/,
email,pass,Published email: info@pmoffice.gov.lk,https://www.pmoffice.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.pmoffice.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.pmoffice.gov.lk/,
published_update_date,pass,Published published update date: 04 September 2026,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575317 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 574713 ,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575310,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 370737 ,https://www.pmoffice.gov.lk/,
email,pass,Published email: info@pmoffice.gov.lk,https://www.pmoffice.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.pmoffice.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.pmoffice.gov.lk/,
published_update_date,pass,Published published update date: 04 September 2026,https://www.pmoffice.gov.lk/,
phone,pass,Published phone: +94) 112 575317 ,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,
phone,pass,Published phone: +94) 112 575310 ,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,
phone,pass,Published phone: +94) 112 574713 ,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,
phone,pass,Published phone: +94) 112 575310,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,
phone,pass,Published phone: +94) 112 370737 ,https://www.pmoffice.gov.lk/divisions.php?para=eHQ5b3dyZVVGSWhoamwydjVkbi9nZz09,
