check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:32.968773+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:32.968791+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:33.304905+05:30
http,pass,Probe 1: HTTP 200 at https://www.pucsl.gov.lk/,https://www.pucsl.gov.lk/,2026-09-08T23:40:49.407498+05:30
http,error,Probe 2: Server disconnected without sending a response.,http://www.pucsl.gov.lk/,2026-09-08T23:40:49.407522+05:30
http,pass,Probe 3: HTTP 200 at https://www.pucsl.gov.lk/,https://www.pucsl.gov.lk/,2026-09-08T23:40:49.407526+05:30
http,error,Probe 4: Server disconnected without sending a response.,http://www.pucsl.gov.lk/,2026-09-08T23:40:49.407529+05:30
http,pass,Probe 5: HTTP 200 at https://www.pucsl.gov.lk/contact-us/,https://www.pucsl.gov.lk/contact-us/,2026-09-08T23:40:49.407532+05:30
http,pass,Probe 6: HTTP 200 at https://www.pucsl.gov.lk/water-services/consumer/quality/,https://www.pucsl.gov.lk/water-services/consumer/quality/,2026-09-08T23:40:49.407534+05:30
http,pass,Probe 7: HTTP 200 at https://www.pucsl.gov.lk/electricity/quality/service-quality/,https://www.pucsl.gov.lk/electricity/quality/service-quality/,2026-09-08T23:40:49.407537+05:30
http,pass,Probe 8: HTTP 200 at https://www.pucsl.gov.lk/water-services/,https://www.pucsl.gov.lk/water-services/,2026-09-08T23:40:49.407540+05:30
http,pass,Probe 9: HTTP 200 at https://www.pucsl.gov.lk/electricity/tariff/,https://www.pucsl.gov.lk/electricity/tariff/,2026-09-08T23:40:49.407543+05:30
http,pass,Probe 10: HTTP 200 at https://www.pucsl.gov.lk/events/,https://www.pucsl.gov.lk/events/,2026-09-08T23:40:49.407546+05:30
http,pass,Probe 11: HTTP 200 at https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,2026-09-08T23:40:49.407549+05:30
http,pass,Probe 12: HTTP 200 at https://www.pucsl.gov.lk/category/blog/,https://www.pucsl.gov.lk/category/blog/,2026-09-08T23:40:49.407551+05:30
http,pass,Probe 13: HTTP 200 at https://www.pucsl.gov.lk/electricity/information-seeker/,https://www.pucsl.gov.lk/electricity/information-seeker/,2026-09-08T23:40:49.407554+05:30
http,pass,Probe 14: HTTP 200 at https://www.pucsl.gov.lk,https://www.pucsl.gov.lk,2026-09-08T23:40:49.407556+05:30
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/,
phone,pass,Published phone: 0112392607/8,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 115 533341,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 112 392607,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 112 392607 ,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: 0112392641,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 115 533341 ,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: 0112392607,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: 0112392641 ,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: +94 112 392641 ,https://www.pucsl.gov.lk/contact-us/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/contact-us/,
email,pass,Published email: ,https://www.pucsl.gov.lk/contact-us/,
postal_address,pass,"Published postal address: 6th Floor, BOC Merchant Tower,St. Michael's Road, Colombo 3,Sri Lanka",https://www.pucsl.gov.lk/contact-us/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/contact-us/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/water-services/consumer/quality/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/water-services/consumer/quality/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/water-services/consumer/quality/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/water-services/consumer/quality/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/water-services/consumer/quality/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/electricity/quality/service-quality/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/electricity/quality/service-quality/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/electricity/quality/service-quality/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/electricity/quality/service-quality/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/electricity/quality/service-quality/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/water-services/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/water-services/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/water-services/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/water-services/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/water-services/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/electricity/tariff/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/electricity/tariff/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/electricity/tariff/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/electricity/tariff/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/electricity/tariff/,
fees_and_payment,pass,Published fees and payment: rs5,https://www.pucsl.gov.lk/electricity/tariff/,
phone,pass,Published phone: 0 11 12 13 14 1,https://www.pucsl.gov.lk/events/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/events/,
phone,pass,Published phone: 0 21 22 23 24 2,https://www.pucsl.gov.lk/events/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/events/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/events/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/events/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/events/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/electricity/tariff/public-consultation/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/category/blog/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/category/blog/,
email,pass,Published email: info@pucsl.gov.lk,https://www.pucsl.gov.lk/category/blog/,
postal_address,pass,"Published postal address: 6TH FLOOR, BOC MERCHANT TOWER, ST. MICHAEL'S ROAD, COLOMBO 3, SRI LANKA",https://www.pucsl.gov.lk/category/blog/,
legal_basis,pass,Published legal basis: regulations,https://www.pucsl.gov.lk/category/blog/,
phone,pass,Published phone: 0.142857142,https://www.pucsl.gov.lk/electricity/information-seeker/,
phone,pass,Published phone: +94 11)2392607,https://www.pucsl.gov.lk/electricity/information-seeker/,
