check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:53.207973+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:53.207992+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:53.251493+05:30
http,pass,Probe 1: HTTP 200 at https://www.railway.gov.lk/,https://www.railway.gov.lk/,2026-09-09T00:03:09.834298+05:30
http,pass,Probe 2: HTTP 200 at https://www.railway.gov.lk/,http://www.railway.gov.lk/,2026-09-09T00:03:09.834323+05:30
http,pass,Probe 3: HTTP 200 at https://www.railway.gov.lk/,https://www.railway.gov.lk/,2026-09-09T00:03:09.834326+05:30
http,pass,Probe 4: HTTP 200 at https://www.railway.gov.lk/,http://www.railway.gov.lk/,2026-09-09T00:03:09.834329+05:30
http,pass,Probe 5: HTTP 200 at https://www.railway.gov.lk/web/index.php?lang=si,https://www.railway.gov.lk/web/index.php?lang=si,2026-09-09T00:03:09.834332+05:30
http,pass,Probe 6: HTTP 200 at https://www.railway.gov.lk/web/index.php?lang=en,https://www.railway.gov.lk/web/index.php?lang=en,2026-09-09T00:03:09.834335+05:30
http,pass,Probe 7: HTTP 200 at https://www.railway.gov.lk/web/index.php?lang=ta,https://www.railway.gov.lk/web/index.php?lang=ta,2026-09-09T00:03:09.834337+05:30
http,pass,Probe 8: HTTP 200 at https://www.railway.gov.lk/web/,https://www.railway.gov.lk/web/,2026-09-09T00:03:09.834340+05:30
http,pass,Probe 9: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=137&Itemid=181&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=137&Itemid=181&lang=si,2026-09-09T00:03:09.834342+05:30
http,pass,Probe 10: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=709&Itemid=231&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=709&Itemid=231&lang=si,2026-09-09T00:03:09.834345+05:30
http,pass,Probe 11: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=138&Itemid=176&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=138&Itemid=176&lang=si,2026-09-09T00:03:09.834348+05:30
http,pass,Probe 12: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=710&Itemid=232&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=710&Itemid=232&lang=si,2026-09-09T00:03:09.834350+05:30
http,pass,Probe 13: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=162&Itemid=186&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=162&Itemid=186&lang=si,2026-09-09T00:03:09.834353+05:30
http,pass,Probe 14: HTTP 200 at https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=909&Itemid=242&lang=si,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=909&Itemid=242&lang=si,2026-09-09T00:03:09.834355+05:30
named_responsibility,pass,Published named responsibility: department,https://www.railway.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.railway.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.railway.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.railway.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?lang=si,
postal_address,pass,"Published postal address: . All rights Reserved. Sri Lanka Railways, Colombo 10, Sri Lanka",https://www.railway.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: circular,https://www.railway.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?lang=ta,
postal_address,pass,"Published postal address: . All rights Reserved. Sri Lanka Railways, Colombo 10, Sri Lanka",https://www.railway.gov.lk/web/,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/,
legal_basis,pass,Published legal basis: circular,https://www.railway.gov.lk/web/,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=137&Itemid=181&lang=si,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=709&Itemid=231&lang=si,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=138&Itemid=176&lang=si,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=710&Itemid=232&lang=si,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=162&Itemid=186&lang=si,
named_responsibility,pass,Published named responsibility: division,https://www.railway.gov.lk/web/index.php?option=com_content&view=article&id=909&Itemid=242&lang=si,
page_text,pass,Substantive page content: 3901 visible characters across 14 pages,https://www.railway.gov.lk/,
