check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:05.897055+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:05.897074+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:06.241402+05:30
http,pass,Probe 1: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/,https://www.rdtri.gov.lk/,2026-09-09T00:00:31.102239+05:30
http,pass,Probe 2: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/,http://www.rdtri.gov.lk/,2026-09-09T00:00:31.102267+05:30
http,pass,Probe 3: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/,https://www.rdtri.gov.lk/,2026-09-09T00:00:31.102271+05:30
http,pass,Probe 4: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/,http://www.rdtri.gov.lk/,2026-09-09T00:00:31.102274+05:30
http,pass,Probe 5: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/contact-us.html,https://www.rdtri.gov.lk/index.php/en/contact-us.html,2026-09-09T00:00:31.102277+05:30
http,pass,Probe 6: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,2026-09-09T00:00:31.102280+05:30
http,pass,Probe 7: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/about-us.html,https://www.rdtri.gov.lk/index.php/en/about-us.html,2026-09-09T00:00:31.102283+05:30
http,pass,Probe 8: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/programmes/training.html,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,2026-09-09T00:00:31.102286+05:30
http,pass,Probe 9: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/programmes/research.html,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,2026-09-09T00:00:31.102289+05:30
http,pass,Probe 10: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,2026-09-09T00:00:31.102292+05:30
http,pass,Probe 11: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/programmes/special.html,https://www.rdtri.gov.lk/index.php/en/programmes/special.html,2026-09-09T00:00:31.102296+05:30
http,pass,Probe 12: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/training-facilities/borella.html,https://www.rdtri.gov.lk/index.php/en/training-facilities/borella.html,2026-09-09T00:00:31.102299+05:30
http,pass,Probe 13: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/training-facilities/pilimathalawa.html,https://www.rdtri.gov.lk/index.php/en/training-facilities/pilimathalawa.html,2026-09-09T00:00:31.102301+05:30
http,pass,Probe 14: HTTP 200 at https://www.rdtri.gov.lk/index.php/en/gallery/image-gallery.html,https://www.rdtri.gov.lk/index.php/en/gallery/image-gallery.html,2026-09-09T00:00:31.102304+05:30
named_responsibility,pass,Published named responsibility: department,https://www.rdtri.gov.lk/index.php/en/,
downloadable_form,pass,Published downloadable form: https://www.rdtri.gov.lk/images/programs/application_for_training.pdf,https://www.rdtri.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: department,https://www.rdtri.gov.lk/index.php/en/,
downloadable_form,pass,Published downloadable form: https://www.rdtri.gov.lk/images/programs/application_for_training.pdf,https://www.rdtri.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: department,https://www.rdtri.gov.lk/index.php/en/,
downloadable_form,pass,Published downloadable form: https://www.rdtri.gov.lk/images/programs/application_for_training.pdf,https://www.rdtri.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: department,https://www.rdtri.gov.lk/index.php/en/,
downloadable_form,pass,Published downloadable form: https://www.rdtri.gov.lk/images/programs/application_for_training.pdf,https://www.rdtri.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 696 592 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 754 587 233 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 718 263 500 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 718 012 155 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 773 641 890 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 713 071 374 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: 0329881997,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94714477062 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 779 920 064 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 718012033 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 771 163 677 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 718 012 162 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94707351431 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 766 772 397 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 112 695 579 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 777 542 044 ,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. document.getElementById('cloak60f5178c78365465,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/contact-us.html,
phone,pass,Published phone: +94 716046989 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 774 451 199 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 714315151 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 705533422 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 778744421 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 717713661 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 718 088 051 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 812 575 292 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 759355899 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 718 487 287 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 719132008 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 778997219 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 778182782 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 743042652 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 812 579 929 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 718266723 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 705582583 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 703150364 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 718 158 589 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 763923770 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
phone,pass,Published phone: +94 783269169 ,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. document.getElementById('cloak84e0a28fe65cae34,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
named_responsibility,pass,Published named responsibility: director,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/contact-us/training-center-pilimathalawa.html,
named_responsibility,pass,Published named responsibility: director,https://www.rdtri.gov.lk/index.php/en/about-us.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/about-us.html,
phone,pass,Published phone: 03 2026.08.13 ,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
phone,pass,Published phone: 01 2026.07.28 ,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
phone,pass,Published phone: 02 2026.08.12 ,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
named_responsibility,pass,Published named responsibility: director,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
processing_time,pass,Published processing time: 03 days,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
downloadable_form,pass,Published downloadable form: https://www.rdtri.gov.lk/images/programs/application_for_training-si.pdf,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/programmes/training.html,
phone,pass,Published phone: 0812575292 ,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,
phone,pass,Published phone: 0112678203 ,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. document.getElementById('cloak40a21694c7f08d07,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,
named_responsibility,pass,Published named responsibility: division,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/programmes/research.html,
phone,pass,Published phone: 077 116 3677 ,https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,
named_responsibility,pass,Published named responsibility: director,https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,
fees_and_payment,pass,Published fees and payment: free of charge,https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/programmes/publication.html,
generic_hosting,fail,Detected generic hosting marker: under construction,https://www.rdtri.gov.lk/index.php/en/programmes/special.html,
phone,pass,Published phone: 0850942226,https://www.rdtri.gov.lk/index.php/en/programmes/special.html,
named_responsibility,pass,Published named responsibility: director,https://www.rdtri.gov.lk/index.php/en/programmes/special.html,
legal_basis,pass,Published legal basis: circular,https://www.rdtri.gov.lk/index.php/en/programmes/special.html,
phone,pass,Published phone: +94 777542044 ,https://www.rdtri.gov.lk/index.php/en/training-facilities/borella.html,
named_responsibility,pass,Published named responsibility: officer in charge,https://www.rdtri.gov.lk/index.php/en/training-facilities/borella.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/training-facilities/borella.html,
phone,pass,Published phone: +9470 315 0364 ,https://www.rdtri.gov.lk/index.php/en/training-facilities/pilimathalawa.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/training-facilities/pilimathalawa.html,
published_update_date,pass,Published published update date: 03 September 2026,https://www.rdtri.gov.lk/index.php/en/gallery/image-gallery.html,
page_text,pass,Substantive page content: 16686 visible characters across 14 pages,https://www.rdtri.gov.lk/,
