check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:28:51.212690+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:28:51.212710+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:28:51.261806+05:30
http,pass,Probe 1: HTTP 200 at https://www.rjt.ac.lk/,https://www.rjt.ac.lk/,2026-09-08T23:29:07.001669+05:30
http,pass,Probe 2: HTTP 200 at https://www.rjt.ac.lk/,http://www.rjt.ac.lk/,2026-09-08T23:29:07.001702+05:30
http,pass,Probe 3: HTTP 200 at https://www.rjt.ac.lk/,https://www.rjt.ac.lk/,2026-09-08T23:29:07.001706+05:30
http,pass,Probe 4: HTTP 200 at https://www.rjt.ac.lk/,http://www.rjt.ac.lk/,2026-09-08T23:29:07.001710+05:30
http,pass,Probe 5: HTTP 200 at https://www.rjt.ac.lk/university-officers/,https://www.rjt.ac.lk/university-officers/,2026-09-08T23:29:07.001714+05:30
http,pass,Probe 6: HTTP 200 at https://www.rjt.ac.lk/physical-education-division/,https://www.rjt.ac.lk/physical-education-division/,2026-09-08T23:29:07.001718+05:30
http,pass,Probe 7: HTTP 200 at https://www.rjt.ac.lk/knowledge-and-technology-transfer-office/,https://www.rjt.ac.lk/knowledge-and-technology-transfer-office/,2026-09-08T23:29:07.001721+05:30
http,pass,Probe 8: HTTP 200 at https://www.rjt.ac.lk/contacts-2/,https://www.rjt.ac.lk/contacts-2/,2026-09-08T23:29:07.001724+05:30
http,pass,Probe 9: HTTP 200 at https://www.rjt.ac.lk/e-services/,https://www.rjt.ac.lk/e-services/,2026-09-08T23:29:07.001727+05:30
http,pass,Probe 10: HTTP 200 at https://www.rjt.ac.lk/vision-and-mission/,https://www.rjt.ac.lk/vision-and-mission/,2026-09-08T23:29:07.001731+05:30
http,pass,Probe 11: HTTP 200 at https://www.rjt.ac.lk/history/,https://www.rjt.ac.lk/history/,2026-09-08T23:29:07.001734+05:30
http,pass,Probe 12: HTTP 200 at https://www.rjt.ac.lk/university-flag/,https://www.rjt.ac.lk/university-flag/,2026-09-08T23:29:07.001736+05:30
http,pass,Probe 13: HTTP 200 at https://www.rjt.ac.lk/university-crest/,https://www.rjt.ac.lk/university-crest/,2026-09-08T23:29:07.001739+05:30
http,pass,Probe 14: HTTP 200 at https://www.rjt.ac.lk/university-anthem/,https://www.rjt.ac.lk/university-anthem/,2026-09-08T23:29:07.001741+05:30
phone,pass,Published phone: +94 (25) 226 6512 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94(25)2266643,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6643 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94252266650,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 2266643 ,https://www.rjt.ac.lk/,
email,pass,Published email: info@rjt.ac.lk,https://www.rjt.ac.lk/,
postal_address,pass,"Published postal address: .address-item .address-icon::before, .team-slider-style4 .team-carousel .team-item:hover, #rs-header.header-transparent ",https://www.rjt.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs3,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6512 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94(25)2266643,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6643 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94252266650,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 2266643 ,https://www.rjt.ac.lk/,
email,pass,Published email: info@rjt.ac.lk,https://www.rjt.ac.lk/,
postal_address,pass,"Published postal address: .address-item .address-icon::before, .team-slider-style4 .team-carousel .team-item:hover, #rs-header.header-transparent ",https://www.rjt.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs3,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6512 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94(25)2266643,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6643 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94252266650,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 2266643 ,https://www.rjt.ac.lk/,
email,pass,Published email: info@rjt.ac.lk,https://www.rjt.ac.lk/,
postal_address,pass,"Published postal address: .address-item .address-icon::before, .team-slider-style4 .team-carousel .team-item:hover, #rs-header.header-transparent ",https://www.rjt.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs3,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6512 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94(25)2266643,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 226 6643 ,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94252266650,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 (25) 2266643 ,https://www.rjt.ac.lk/,
email,pass,Published email: info@rjt.ac.lk,https://www.rjt.ac.lk/,
postal_address,pass,"Published postal address: .address-item .address-icon::before, .team-slider-style4 .team-carousel .team-item:hover, #rs-header.header-transparent ",https://www.rjt.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs3,https://www.rjt.ac.lk/,
phone,pass,Published phone: +94 25 226 6627 ,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94 25 226 6130 ,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94(25)2266643,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94 25 226 6694 ,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94 25 226 6212 ,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94 25 223 4462 ,https://www.rjt.ac.lk/university-officers/,
phone,pass,Published phone: +94252266650,https://www.rjt.ac.lk/university-officers/,
