check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:44.547971+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:44.547988+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:45.133362+05:30
http,pass,Probe 1: HTTP 200 at https://www.slecic.lk/,https://www.slecic.lk/,2026-09-08T23:41:10.580689+05:30
http,pass,Probe 2: HTTP 200 at http://www.slecic.lk/,http://www.slecic.lk/,2026-09-08T23:41:10.580711+05:30
http,pass,Probe 3: HTTP 200 at https://www.slecic.lk/,https://www.slecic.lk/,2026-09-08T23:41:10.580714+05:30
http,pass,Probe 4: HTTP 200 at http://www.slecic.lk/,http://www.slecic.lk/,2026-09-08T23:41:10.580717+05:30
http,pass,Probe 5: HTTP 200 at https://www.slecic.lk/contact,https://www.slecic.lk/contact,2026-09-08T23:41:10.580720+05:30
http,pass,Probe 6: HTTP 200 at https://www.slecic.lk/index,https://www.slecic.lk/index,2026-09-08T23:41:10.580723+05:30
http,pass,Probe 7: HTTP 200 at https://www.slecic.lk/Who-we-are,https://www.slecic.lk/Who-we-are,2026-09-08T23:41:10.580725+05:30
http,pass,Probe 8: HTTP 200 at https://www.slecic.lk/Our-role,https://www.slecic.lk/Our-role,2026-09-08T23:41:10.580727+05:30
http,pass,Probe 9: HTTP 200 at https://www.slecic.lk/Leadership,https://www.slecic.lk/Leadership,2026-09-08T23:41:10.580730+05:30
http,pass,Probe 10: HTTP 200 at https://www.slecic.lk/Customer-testimonials,https://www.slecic.lk/Customer-testimonials,2026-09-08T23:41:10.580732+05:30
http,pass,Probe 11: HTTP 200 at https://www.slecic.lk/career-opportunities,https://www.slecic.lk/career-opportunities,2026-09-08T23:41:10.580735+05:30
http,pass,Probe 12: HTTP 200 at https://www.slecic.lk/CreditInsurance,https://www.slecic.lk/CreditInsurance,2026-09-08T23:41:10.580738+05:30
http,pass,Probe 13: HTTP 200 at https://www.slecic.lk/creditGurantee,https://www.slecic.lk/creditGurantee,2026-09-08T23:41:10.580741+05:30
http,pass,Probe 14: HTTP 200 at https://www.slecic.lk/apara,https://www.slecic.lk/apara,2026-09-08T23:41:10.580743+05:30
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slecic.lk/,
fees_and_payment,pass,Published fees and payment: LKR 3,https://www.slecic.lk/,
phone,pass,Published phone: 0112 307 519 ,http://www.slecic.lk/,
phone,pass,Published phone: 0112 307 523 ,http://www.slecic.lk/,
email,pass,Published email: inquiry@slecic.lk,http://www.slecic.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.slecic.lk/,
fees_and_payment,pass,Published fees and payment: LKR 3,http://www.slecic.lk/,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slecic.lk/,
fees_and_payment,pass,Published fees and payment: LKR 3,https://www.slecic.lk/,
phone,pass,Published phone: 0112 307 519 ,http://www.slecic.lk/,
phone,pass,Published phone: 0112 307 523 ,http://www.slecic.lk/,
email,pass,Published email: inquiry@slecic.lk,http://www.slecic.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.slecic.lk/,
fees_and_payment,pass,Published fees and payment: LKR 3,http://www.slecic.lk/,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/contact,
phone,pass,Published phone: +94) 112 307 519-,https://www.slecic.lk/contact,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/contact,
phone,pass,Published phone: +94) 112 307 515 ,https://www.slecic.lk/contact,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/contact,
postal_address,pass,"Published postal address: Level 4, NDB-EDB Tower, No 42, Nawam Mawatha, Colombo 02, Sri Lanka",https://www.slecic.lk/contact,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/index,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/index,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/index,
named_responsibility,pass,Published named responsibility: director,https://www.slecic.lk/index,
fees_and_payment,pass,Published fees and payment: LKR 3,https://www.slecic.lk/index,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/Who-we-are,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/Who-we-are,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/Who-we-are,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slecic.lk/Who-we-are,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/Our-role,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/Our-role,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/Our-role,
fees_and_payment,pass,Published fees and payment: Rs. 1,https://www.slecic.lk/Our-role,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/Leadership,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/Leadership,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/Leadership,
named_responsibility,pass,Published named responsibility: director,https://www.slecic.lk/Leadership,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slecic.lk/Leadership,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/Customer-testimonials,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/Customer-testimonials,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/Customer-testimonials,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/career-opportunities,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/career-opportunities,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/career-opportunities,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/CreditInsurance,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/CreditInsurance,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/CreditInsurance,
named_responsibility,pass,Published named responsibility: department,https://www.slecic.lk/CreditInsurance,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slecic.lk/CreditInsurance,
processing_time,pass,Published processing time: 4 months,https://www.slecic.lk/CreditInsurance,
phone,pass,Published phone: 0112 307 519 ,https://www.slecic.lk/creditGurantee,
phone,pass,Published phone: 0112 307 523 ,https://www.slecic.lk/creditGurantee,
email,pass,Published email: inquiry@slecic.lk,https://www.slecic.lk/creditGurantee,
fees_and_payment,pass,Published fees and payment: rs 85,https://www.slecic.lk/creditGurantee,
