check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:48:06.775471+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:48:06.775491+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:48:07.329397+05:30
http,pass,Probe 1: HTTP 200 at https://www.slithm.edu.lk/,https://www.slithm.edu.lk/,2026-09-08T23:48:40.565704+05:30
http,pass,Probe 2: HTTP 200 at https://www.slithm.edu.lk/,http://www.slithm.edu.lk/,2026-09-08T23:48:40.565727+05:30
http,pass,Probe 3: HTTP 200 at https://www.slithm.edu.lk/,https://www.slithm.edu.lk/,2026-09-08T23:48:40.565731+05:30
http,pass,Probe 4: HTTP 200 at https://www.slithm.edu.lk/,http://www.slithm.edu.lk/,2026-09-08T23:48:40.565735+05:30
http,pass,Probe 5: HTTP 200 at https://www.slithm.edu.lk/contact-us/,https://www.slithm.edu.lk/contact-us/,2026-09-08T23:48:40.565737+05:30
http,pass,Probe 6: HTTP 200 at https://www.slithm.edu.lk/research-publications/,https://www.slithm.edu.lk/research-publications/,2026-09-08T23:48:40.565740+05:30
http,pass,Probe 7: HTTP 200 at https://www.slithm.edu.lk/international-students/,https://www.slithm.edu.lk/international-students/,2026-09-08T23:48:40.565743+05:30
http,pass,Probe 8: HTTP 200 at https://www.slithm.edu.lk/facilities-activities/,https://www.slithm.edu.lk/facilities-activities/,2026-09-08T23:48:40.565746+05:30
http,pass,Probe 9: HTTP 200 at https://www.slithm.edu.lk/library/,https://www.slithm.edu.lk/library/,2026-09-08T23:48:40.565748+05:30
http,pass,Probe 10: HTTP 200 at https://www.slithm.edu.lk/cooperate-information/,https://www.slithm.edu.lk/cooperate-information/,2026-09-08T23:48:40.565751+05:30
http,pass,Probe 11: HTTP 200 at https://www.slithm.edu.lk/administration/,https://www.slithm.edu.lk/administration/,2026-09-08T23:48:40.565754+05:30
http,pass,Probe 12: HTTP 200 at https://www.slithm.edu.lk/academic-staff/,https://www.slithm.edu.lk/academic-staff/,2026-09-08T23:48:40.565757+05:30
http,pass,Probe 13: HTTP 200 at https://www.slithm.edu.lk/policies-procedures-act/,https://www.slithm.edu.lk/policies-procedures-act/,2026-09-08T23:48:40.565759+05:30
http,pass,Probe 14: HTTP 200 at https://www.slithm.edu.lk/courses/,https://www.slithm.edu.lk/courses/,2026-09-08T23:48:40.565762+05:30
phone,pass,Published phone: +94112208312,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 382 219 ,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 208 312 ,https://www.slithm.edu.lk/,
email,pass,Published email: info@slithm.edu.lk,https://www.slithm.edu.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slithm.edu.lk/,
phone,pass,Published phone: +94112208312,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 382 219 ,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 208 312 ,https://www.slithm.edu.lk/,
email,pass,Published email: info@slithm.edu.lk,https://www.slithm.edu.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slithm.edu.lk/,
phone,pass,Published phone: +94112208312,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 382 219 ,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 208 312 ,https://www.slithm.edu.lk/,
email,pass,Published email: info@slithm.edu.lk,https://www.slithm.edu.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slithm.edu.lk/,
phone,pass,Published phone: +94112208312,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 382 219 ,https://www.slithm.edu.lk/,
phone,pass,Published phone: +94 112 208 312 ,https://www.slithm.edu.lk/,
email,pass,Published email: info@slithm.edu.lk,https://www.slithm.edu.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slithm.edu.lk/,
phone,pass,Published phone: +94112208312,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 081 2230900 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 065 2050306 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 057 2232499 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 073 091 2283,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 025 2224546 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 077 - 0895653 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 037 2223959 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: +94 112 382 219 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: +94 112 208 312 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 037 2225953 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 025 2223315 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 057 2233145 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 045 2226464 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 091 2283072 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 045 2226262 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 011 2382207 ,https://www.slithm.edu.lk/contact-us/,
phone,pass,Published phone: 03. 011 22083,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: ratnapura@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: passikudah@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: kumuduniw@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: info@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: sujithy@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: chsbanda@yahoo.com,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: jaffna@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: registrar@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
email,pass,Published email: koggala@slithm.edu.lk,https://www.slithm.edu.lk/contact-us/,
