check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:43.703573+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:43.703594+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:44.280059+05:30
http,pass,Probe 1: HTTP 200 at https://www.stc.lk/,https://www.stc.lk/,2026-09-09T00:03:00.993921+05:30
http,pass,Probe 2: HTTP 200 at https://www.stc.lk/,http://www.stc.lk/,2026-09-09T00:03:00.993943+05:30
http,pass,Probe 3: HTTP 200 at https://www.stc.lk/,https://www.stc.lk/,2026-09-09T00:03:00.993946+05:30
http,pass,Probe 4: HTTP 200 at https://www.stc.lk/,http://www.stc.lk/,2026-09-09T00:03:00.993949+05:30
http,pass,Probe 5: HTTP 200 at https://www.stc.lk/contact-us/,https://www.stc.lk/contact-us/,2026-09-09T00:03:00.993952+05:30
http,pass,Probe 6: HTTP 200 at https://www.stc.lk/services/,https://www.stc.lk/services/,2026-09-09T00:03:00.993954+05:30
http,pass,Probe 7: HTTP 200 at https://www.stc.lk/about-us/,https://www.stc.lk/about-us/,2026-09-09T00:03:00.993957+05:30
http,pass,Probe 8: HTTP 200 at https://www.stc.lk/history-of-stc/,https://www.stc.lk/history-of-stc/,2026-09-09T00:03:00.993959+05:30
http,pass,Probe 9: HTTP 200 at https://www.stc.lk/exports/,https://www.stc.lk/exports/,2026-09-09T00:03:00.993962+05:30
http,pass,Probe 10: HTTP 200 at https://www.stc.lk/tenders/,https://www.stc.lk/tenders/,2026-09-09T00:03:00.993965+05:30
http,pass,Probe 11: HTTP 200 at https://www.stc.lk/category/news-events/,https://www.stc.lk/category/news-events/,2026-09-09T00:03:00.993967+05:30
http,pass,Probe 12: HTTP 200 at https://www.stc.lk/gallery/,https://www.stc.lk/gallery/,2026-09-09T00:03:00.993970+05:30
http,pass,Probe 13: HTTP 200 at https://www.stc.lk/vacancies/,https://www.stc.lk/vacancies/,2026-09-09T00:03:00.993972+05:30
http,pass,Probe 14: HTTP 200 at https://www.stc.lk/annual-reports/,https://www.stc.lk/annual-reports/,2026-09-09T00:03:00.993975+05:30
phone,pass,Published phone: 011 242 2341 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0372 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2440880 (,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2447970,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 236 9999 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0715326907 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 243 6418 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 071 445 2544 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 077 355 9773 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0334 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0702 590372 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0332 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 071 440 6181 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0316 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0358 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 065 22 29 275 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 725 0335 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 037 222 2209 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 025 222 2341 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0702 590364 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0378 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 077 111 0957 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 041 2222 508 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 081 2200030 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2422341,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0357 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0311 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 075 506 7813 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 077 313 0823 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0355 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0337 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 2590365 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 071 803 7922 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 021-2222206 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0112447970 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 259 0303 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 037 222 2224 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2447970 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 025 222 7262 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2440880,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 065 22 29 253 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 244 0880 (,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 070 164 6877 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 2422341 (,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0812200066 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 077 879 8042 ,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 0112 244 088,https://www.stc.lk/contact-us/,
phone,pass,Published phone: 011 238 4603 ,https://www.stc.lk/contact-us/,
email,pass,Published email: hiran@stc.lk,https://www.stc.lk/contact-us/,
email,pass,Published email: batticaloa@stc.lk,https://www.stc.lk/contact-us/,
email,pass,Published email: stcanuradhapura@gmail.com,https://www.stc.lk/contact-us/,
email,pass,Published email: udeni@stc.lk,https://www.stc.lk/contact-us/,
