check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:08:20.641994+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:08:20.642013+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:08:20.717697+05:30
http,fail,Probe 1: HTTP 403 at https://www.supremecourt.lk/,https://www.supremecourt.lk/,2026-09-09T00:08:23.964186+05:30
http,fail,Probe 2: HTTP 403 at http://www.supremecourt.lk/,http://www.supremecourt.lk/,2026-09-09T00:08:23.964206+05:30
http,fail,Probe 3: HTTP 403 at https://www.supremecourt.lk/,https://www.supremecourt.lk/,2026-09-09T00:08:23.964209+05:30
http,fail,Probe 4: HTTP 403 at http://www.supremecourt.lk/,http://www.supremecourt.lk/,2026-09-09T00:08:23.964212+05:30
phone,pass,Published phone: 0-178889270,https://www.supremecourt.lk/,
page_text,fail,Only 16 visible characters across 4 pages; below substance threshold 200,https://www.supremecourt.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-09T00:08:24.062196+05:30
