check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:32:20.984883+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:32:20.984903+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:32:31.202945+05:30
http,pass,Probe 1: HTTP 200 at https://www.svias.esn.ac.lk/,https://www.svias.esn.ac.lk/,2026-09-08T23:33:48.402643+05:30
http,pass,Probe 2: HTTP 200 at http://www.svias.esn.ac.lk/,http://www.svias.esn.ac.lk/,2026-09-08T23:33:48.402668+05:30
http,pass,Probe 3: HTTP 200 at https://www.svias.esn.ac.lk/,https://www.svias.esn.ac.lk/,2026-09-08T23:33:48.402671+05:30
http,pass,Probe 4: HTTP 200 at http://www.svias.esn.ac.lk/,http://www.svias.esn.ac.lk/,2026-09-08T23:33:48.402675+05:30
http,pass,Probe 5: HTTP 200 at https://www.svias.esn.ac.lk/office/,https://www.svias.esn.ac.lk/office/,2026-09-08T23:33:48.402677+05:30
http,pass,Probe 6: HTTP 200 at https://www.svias.esn.ac.lk/department-of-carnatic-music/,https://www.svias.esn.ac.lk/department-of-carnatic-music/,2026-09-08T23:33:48.402680+05:30
http,pass,Probe 7: HTTP 200 at https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,2026-09-08T23:33:48.402683+05:30
http,pass,Probe 8: HTTP 200 at https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,2026-09-08T23:33:48.402685+05:30
http,pass,Probe 9: HTTP 200 at https://www.svias.esn.ac.lk/history/,https://www.svias.esn.ac.lk/history/,2026-09-08T23:33:48.402688+05:30
http,pass,Probe 10: HTTP 200 at https://www.svias.esn.ac.lk/vision-mission/,https://www.svias.esn.ac.lk/vision-mission/,2026-09-08T23:33:48.402691+05:30
http,pass,Probe 11: HTTP 200 at https://www.svias.esn.ac.lk/location/,https://www.svias.esn.ac.lk/location/,2026-09-08T23:33:48.402693+05:30
http,pass,Probe 12: HTTP 200 at https://www.svias.esn.ac.lk/former-directors/,https://www.svias.esn.ac.lk/former-directors/,2026-09-08T23:33:48.402696+05:30
http,pass,Probe 13: HTTP 200 at https://www.svias.esn.ac.lk/board-of-management/,https://www.svias.esn.ac.lk/board-of-management/,2026-09-08T23:33:48.402698+05:30
http,pass,Probe 14: HTTP 200 at https://www.svias.esn.ac.lk/academic-syndicate/,https://www.svias.esn.ac.lk/?page_id=2874,2026-09-08T23:33:48.402701+05:30
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.svias.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.svias.esn.ac.lk/,
phone,pass,Published phone: +94 75 808 7516 ,https://www.svias.esn.ac.lk/office/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/office/,
phone,pass,Published phone: +94 75 046 9849 ,https://www.svias.esn.ac.lk/department-of-carnatic-music/,
email,pass,Published email: vaheesant@esn.ac.lk,https://www.svias.esn.ac.lk/department-of-carnatic-music/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/department-of-carnatic-music/,
phone,pass,Published phone: +94 77 618 1841 ,https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,
email,pass,Published email: Nanthujee645@gmail.com,https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,
email,pass,Published email: ushanthyn@esn.ac.lk,https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/department-of-dance-drama-theatre/,
phone,pass,Published phone: +94 77 228 3176 ,https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,
email,pass,Published email: pragash0333@gmail.com,https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,
email,pass,Published email: pragashr@esn.ac.lk,https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/department-of-visual-technological-arts/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/history/,
legal_basis,pass,Published legal basis: gazette,https://www.svias.esn.ac.lk/history/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/vision-mission/,
phone,pass,Published phone: +94 65 222 5689 ,https://www.svias.esn.ac.lk/location/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/location/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/former-directors/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/board-of-management/,
named_responsibility,pass,Published named responsibility: director,https://www.svias.esn.ac.lk/academic-syndicate/,
page_text,pass,Substantive page content: 8745 visible characters across 14 pages,https://www.svias.esn.ac.lk/,
