check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:36.519311+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:36.519328+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:34:36.542805+05:30
http,fail,Probe 1: HTTP 500 at https://www.ugc.ac.lk/,https://www.ugc.ac.lk/,2026-09-08T23:37:29.976360+05:30
http,error,Probe 2: timed out,http://www.ugc.ac.lk/,2026-09-08T23:37:29.976385+05:30
http,fail,Probe 3: HTTP 500 at https://www.ugc.ac.lk/,https://www.ugc.ac.lk/,2026-09-08T23:37:29.976388+05:30
http,error,Probe 4: timed out,http://www.ugc.ac.lk/,2026-09-08T23:37:29.976391+05:30
http,pass,Probe 5: HTTP 200 at https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,2026-09-08T23:37:29.976394+05:30
http,pass,Probe 6: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Appeals_Form.pdf,https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Appeals_Form.pdf,2026-09-08T23:37:29.976397+05:30
http,pass,Probe 7: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Extra_Curricular_Activities.pdf,https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Extra_Curricular_Activities.pdf,2026-09-08T23:37:29.976399+05:30
http,pass,Probe 8: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Blind_Differently_Abled.pdf,https://www.ugc.ac.lk/downloads/admissions/SpecimenForm/2025-2026/Blind_Differently_Abled.pdf,2026-09-08T23:37:29.976402+05:30
http,pass,Probe 9: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/FAQ/Sinhala.pdf,https://www.ugc.ac.lk/downloads/admissions/FAQ/Sinhala.pdf,2026-09-08T23:37:29.976404+05:30
http,pass,Probe 10: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/FAQ/Tamil.pdf,https://www.ugc.ac.lk/downloads/admissions/FAQ/Tamil.pdf,2026-09-08T23:37:29.976407+05:30
http,pass,Probe 11: HTTP 200 at https://ugc.ac.lk/attachments/2750_University%20Ambassador%20Registration%20Form-2026%20Sinhala.pdf,https://ugc.ac.lk/attachments/2750_University%20Ambassador%20Registration%20Form-2026%20Sinhala.pdf,2026-09-08T23:37:29.976410+05:30
http,pass,Probe 12: HTTP 200 at https://ugc.ac.lk/selection_26/,https://ugc.ac.lk/selection_26/,2026-09-08T23:37:29.976412+05:30
http,pass,Probe 13: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/student_registration_25_26/First%20Instruction_%202025-2026.pdf,https://www.ugc.ac.lk/downloads/admissions/student_registration_25_26/First Instruction_ 2025-2026.pdf,2026-09-08T23:37:29.976415+05:30
http,pass,Probe 14: HTTP 200 at https://www.ugc.ac.lk/downloads/admissions/SpecialNotice/SLC_Notice21_22.pdf,https://www.ugc.ac.lk/downloads/admissions/SpecialNotice/SLC_Notice21_22.pdf,2026-09-08T23:37:29.976417+05:30
phone,pass,Published phone: +94-112687510 ,https://www.ugc.ac.lk/,
phone,pass,Published phone: +94-112687637 ,https://www.ugc.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ugc.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://www.ugc.ac.lk/,
downloadable_form,pass,Published downloadable form: https://www.ugc.ac.lk/downloads/admissions/SpecialNotice/SLC_Notice21_22.pdf,https://www.ugc.ac.lk/,
phone,pass,Published phone: +94-112687510 ,https://www.ugc.ac.lk/,
phone,pass,Published phone: +94-112687637 ,https://www.ugc.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ugc.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://www.ugc.ac.lk/,
downloadable_form,pass,Published downloadable form: https://www.ugc.ac.lk/downloads/admissions/SpecialNotice/SLC_Notice21_22.pdf,https://www.ugc.ac.lk/,
phone,pass,Published phone: 0000000066 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000101 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000183 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000398 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000491 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000293 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000378 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000434 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000291 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000180 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000071 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000088 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000126 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000017 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000428 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000463 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000569 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000287 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000358 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000492 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000282 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000397 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000055 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000195 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000349 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000380 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000222 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000116 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000295 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000518 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000557 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000109 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000578 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
phone,pass,Published phone: 0000000107 ,https://www.ugc.ac.lk/downloads/Standing%20Committees/2026%20SC%20Meeting%20Schedule.pdf,
